,article_title,abstract
1139,Adaptive Smart Traffic Accidents Management System,"The proliferation of smart devices, IoT applications and wireless communication technologies contribute in countries development, societys security, cost reduction, and customer services satisfactions; since they are used in different aspects of our life. Traffic congestion and accidents are increased recently and reached critical limits, so these contribute in initiating sever problems for researchers, governments and industry over the last few decades. Traffic accidents have many defects relating to increase number of death, infrastructure distribution, and health injuries; therefore, there is a crucial need to develop and modify an approach that utilizes the new technology to limit and prevent the traffic accidents.  Wireless sensors networks are developed to support smart solutions in smart cities like smart traffic, smart grid and others. In this research we developed a comprehensive approach to achieve the following three important goals in smart accident elimination. The first goal is to minimize the number of exchange information packets between sensors to save the battery life through developing and adapting clustering schema to minimize the number of exchanges information packets. The second goal is to calculate and determine the optimum route from accident location to the nearest rescue location by developing a dynamic routing schema   that is calculated by the control station depending on a cost heuristics function. The third goal is to predicate the accident causes and minimize the probability of accidents occur using a warning message schema and drawing some obstacles on some routing paths. Cupcarbon simulator and MATLAB software tool are developed to simulate different scenarios in order to proof the research goals.,"
1147,The Role of MANET in Collaborating IoT End Devices: A New Era of Smart Communication,"Merging of MANET with IOT utilized in inevitable knowledge situations opens new possibility in checking and makes another communication stage for various applications in Internet of Things (IoT). Sensors utilized for IoT applications, sense nature and send the data to the gateway hub, which then send the congregated information to the MANET hub, particularly used for information gathering. MANET plays a key function, which is used as the foundation of the IoT arrange. Because of its intrinsic properties, the MANET hubs can assemble unconstrained associations with different hubs without the need of any base. MANET hubs can turn over the IoT procedure and accumulate information from the sensors and or any fixed Radiocommunication nodes. MANET cores can be utilized as key advances in a few applications in IoT. Because of the idea of self-designing, MANET hubs just as the sensor hubs can be sent in huge possibility. In this paper we have taken a survey of MANET and IOT various applications in running era and corelating various computing techniques like cloud, fog and edge with MANET and IOT. This examination is an improvement and usage of existing versatile specially selected procedure communication exploiting the in the structure of the IoT.,"
1152,Design and Implementation of Smart City Applications Based on the Internet of Things,"Since the emergence of the Coronavirus and its declaration as a global pandemic, the world has changed all sectors radically. Covid-19 has caused a very strong effect on daily life and adaptation to new ways of learning, working, and communicating. The smart city is one of the most important solutions that enable us to go on with daily life during the pandemic and beyond. The smart city employs the current technology and smart solutions to serve the community, and improve the services provided to the people, particularly in vital sectors such as health, education, electricity, transportation, communications, and others. This article deals with two innovative applications for the Internet of things in smart cities: The first refers to designing an intelligent health monitoring system, which aims to reduce the spread of Coronavirus infection from people to the medical staff, as well as reduce work pressure on the medical staff. The second application refers to monitoring electrical energy consumed by measuring and monitoring electrical parameters and energy consumption. In addition, it helps us to know the power line trespasser. Both systems are implemented by using sensors to gather data in real-time and then transmit it to the server.,"
1164,MODEL-Based Performance Quality Assessment for IoT Applications,"The number of applications incorporating Internet of Things (IoT) concepts increases extraordinarily. This increase cannot continue without high-quality assurance. There are some difficulties in testing IoT applications; the system heterogeneity, test cost and time are taken to test the system, and the precision percentage of test results.A well-known and possibly the best solution to overcoming these difficulties is to model the system for evaluation purposes, known as model-based testing (MBT). This paper aims to design a model-based testing approach to assess IoT applications performance quality attributes. The ISO 25000 quality model is used as a standard for software quality assurance applications. IoTMaaS is used as a case study to implement the methodological approach. The possible test cases were generated using the ACTS combinatorial test generation tool. The performance metrics of each test case were monitored until the optimum test case was identified, with the shortest response time and the least amount of resources used. The proposed testing method appears to be successful, according to the results.,"
1165,Blended Learning Model with IoT-based by Smartphone,"In 2021, the COVID-19 pandemic is still not over. Thailand is the one that is facing the second wave of new coronavirus. Schools and universities were closed, and faculties need to mostly teach with Online pedagogy, including the graduate students' courses. This study proposes to focus on the Ubiquitous area of the Blended Learning model with IoT-based to solve a problem of graduate students and their advisors by the qualitative focus-group technique. The mobile application draft was synthesized and designed to track and monitor graduate students' research activities on smartphones by built-in sensors. They should stay active along while researching the advisors assignments on their smartphone. Non-active periods are implied when several behaviors are detected. Virtualize dashboards are processed to report the total active learning period of students for the advisor's evaluation.Moreover, students can continually monitor their self-efficacy to improve the online learning process. Besides, this study proposes to confirm the models quality by twelve experts with the questionnaire. The results show average scores of Propriety, Utility, Feasibility, and Accuracy standard are 4.32, 4.41, 4.37, and 4.21, respectively. Therefore, the Blended Learning model's overall qualities with IoT-based smartphones are extremely high and proper to implement.,"
1172,Flashover Prevention System using IoT and Machine Learning for Transmission and Distribution Lines,"Flashover on transmission and distribution line insulators occurs when the insulators resistance drops to a critical level and causes frequent power outages. Thin layers of dust, salt, and airborne particles, gradually deposited on the surface of insulators, as well as humidity, form an electrolyte which causes flashover.  In this paper, a flashover prevention system using IoT technology and machine learning is proposed in order to reduce loss and increase power reliability. The system includes an IoT module, a service and clients. The IoT module prototype was installed at a distribution line pole located in Pracha-utit, Bangkok, Thailand and had collected data for thirty-four months. The data were pre-processed and split for the training process and evaluation. In this study, we built and compared four models including linear regression, polynomial regression, Auto-regressive Integrated Moving Average (ARIMA) and Long Short-Term Memory (LSTM) models. The results revealed that the LSTM model outperformed (=.931, RMSE= 530.74) the others."
1178,Face Recognition Using the Convolutional Neural Network for Barrier Gate System,"The implementation of face recognition technique using CCTV is able to prevent unauthorized person enter the gate. Face recognition can be used for authentication, which can be implemented for preventing of criminal incidents. This re-search proposed a face recognition system using convolutional neural network to open and close the real-time barrier gate. The process consists of a convolutional layer, pooling layer, max pooling, flattening, and fully connected layer for detecting a face. The information was sent to the microcontroller using Internet of Thing (IoT) for controlling the barrier gate. The face recognition results are used to open or close the gate in the real time. The experimental results obtained average error rate of 0.320 and the accuracy of success rate is about 93.3%. The average response time required by microcontroller is about 0.562ms. The simulation result show that the face recognition technique using CNN is highly recommended to be implemented in barrier gate system."
370,Multi-viewpoint Smartphone AR-based Learning System for Solar Movement Observations,"Understanding solar movement (e.g., solar diurnal motion) is difficult for those are beginning to learn about astronomy. Previous research has revealed that observation-based learning can help make astronomical phenomena clearer to understand for such learners. In this research, Smartphone Augmented Reality (AR) technology and 3D content were used to develop a multi-viewpoint Smartphone AR-based learning system (M-VSARLS) for solar movement observations that can be used in the real-world environment. The goal of this research is to assess the usefulness of the system, usability of the AR function and 3D content, and the overall effect of the system on the learners motivation through task-based experiments with follow-up questionnaires. The results show that the M-VSARL system is effective in improving the observational skills and learning ability of learners, and in enhancing their motivation to learn about solar movement."
380,Lunar Observation Support System Using Smartphone AR for Astronomy Education,"It is possible to improve learnersâ?? understanding of the concept of lunar phases by using Observation based Learning (OBL). In this research, Smartphone Augmented Reality (AR) technology was used to develop a multi-viewpoint AR-based mobile learning (M-VARML) system for moon observation that can be used in the real world environment. An experiment was conducted to evaluate the usefulness of our system. Participants were given five moon observation tasks, which they had to perform manually and using the M-VARML system. After each task, they were given follow-up questionnaires on the usefulness of the functions in the system. Finally, they were asked about the operational usability and the effect our system had in motivating them to pursue lunar observation. The results show that the M-VARML system is effective in improving the observation and learning of students and in enhancing their motivation to pursue lunar learning."
428,Sensory Media: Multidisciplinary Approaches in Designing a Situated & Mobile Learning Environment for Past Topics,"Handheld digital devices are rapidly increasing their sensory capabilities for registering multiple types of input, such as movement, orientation, position and touch, as well as light and sound. Mobile Augmented Rreality is one of the emerging forms of representation and expression that exploits these sensory media. In the following text we will present and discuss a type of indirect augmented reality, which we call situated simulations. In a situated simulation there is approximate identity between the 3D environment displayed on the screen and the user's real perspective on a given location. This makes it possible to create simulations of relevant objects and environments related to a specific place, for example, interpretations of its past. We present a situated simulation"
500,A Systematic Review of Learning Through Mobile Augmented Reality,"In the beginning of 2000, researchers started to see the potential of using Augmented Reality (AR) in educational and foresaw that further research within the field. Since then, AR research have taken many different approaches. This is also true for AR in relation to pedagogical purposes. This study is to investigate what has been studied within the AR field related to mobile augmented reality. It attempts to make systematic review of how learning and pedagogical aspects have been approached in the articles. In recent years, mobile augmented reality has become increasingly interesting due to the mobile devices small form factors and their ability to let the students move around freely while learning. The aim of this study is to make a systematic review of pedagogical uses of mobile augmented reality. Based on a review of previous literature of mobile AR systems for pedagogical purposes, published between 2000-2017, make it possible to see in which direction mobile AR systems for education are heading and how future mobile AR systems should be designed to best fit the needs of future students so they can more effectively improve their learning.,"
516,Augmented Reality: Daily Prayers for Preschooler Student,"Education is one of the aspects that many synthesized with technology. Yet, this is contrary to the fact that where most of the learning materials are still based on text. This research aims to develop an alternative learning media by implementing Augmented Reality Technology for Preschooler students. Augmented Reality (AR) is an application that can combine the virtual object as text, pictures and animation into the real world. Development of Augmented Reality application uses Web Aurasma Based Studio, with learning materials of daily prayer for preschool student. The development of the characters and the animations were using Adobe Illustrator and Adobe After Effects. The results of the study showed that technology Augmented Reality can be used as an alternative learning media especially in the learning process in Preschool Al Furqon. This is because the content Augmented Reality in the form of animation can gives more understanding and attention for preschool student to follow the learning process"
522,Markerless Augmented Reality Utilizing Gyroscope to Demonstrate the Position of Dewata Nawa Sanga," in Hinduism has an important role as the foundation of the religious concept implemented by Hindus in Bali, Indonesia. It has the meaning of nine deities or manifestations of Ida Sang Hyang Widhi Wasa (God Almighty)  that guard or control the nine wind direction.  in terms of education in Bali has been learned by the elementary school students. However, in social life the concept of  itself has not been attached and understood by all Balinese Hinduism yet. Based on the problem in social life, there is an idea to develop Markerless Augmented Reality Utilizing Gyroscope to Demonstrate the Position of . This application is designed to know, recognize, and understand the characteristics of  using gyroscope. This sensor serves to fulfill the object of the deities in the coordinates to be determined. Furthermore, it serves to provide information about  along with the innovative and informative 3D animation. The result of usefulness questionnaire of this application percentage value average is 88.4%. It can be concluded that AR  is very useful and helpful for learners in exploring the  position in a real-world environment. The result of usability and satisfaction questionnaire of this application percentage value average is 84.8%. It shows that the application is very useful for the participants to learn  and very satisfied to use.,"
526,Development of the MARPEX App Embedding the Mobile Augmented Reality Factors for Learning Motivation in Science Experiments,"Mobile Augmented Reality (MAR) has grown exponentially over the last four decades from imagination to real physical experience, especially in education. Previously, experts have completed the concepts of effectiveness, usability, acceptance and understanding in designing MAR applications to introduce and expose technological advances. However, most of these applications are addressed extensively for classroom science learning, while science experiments receive little attention. Students have to go through difficulties in understanding the phenomena of science and consequently become dissatisfied with their grasp on basic knowledge and eventually cannot pursue higher education or career related to science. This paper presents the development of Mobile Augmented Reality for Physics (MARPEX) application for high school students. The purpose of this application is to enhance the learning motivation in science experiments through the content of modern science. It aims to provide an individual learning experience for each student in science experiments. The MARPEX app design has gone through several phases of filtering and evaluation based on the specified objectives. This application needs to maintain the factors necessary to achieve this goal. This app has been designed and developed specifically for science (physics) experiments on the topic of electromagnetism. The application encrypts several experimental instances with the addition of good visualization to understand this phenomenon and has real-life experimental experience"
531,A Conceptual Model of Mobile Augmented Reality for Hearing Impaired Museum Visitors Engagement,"Many studies have begun to consider how to ensure a pleasant experience during visits to cultural heritage sites and museums. Although, when considering the populace of the visitors to these sites, the hearing impaired (HI) visitors which made up of a smaller percentage, have not been in the literature limelight as much as the normal hearing visitors. Thus, the hearing impaired tends to endure certain unpalatable experiences leading to dissatisfaction of their visits. Literature has shown that Mobile Augmented Reality (MAR) can improve the experiences of visitors to the museum in terms of engagement, enjoyment and learning. This is evident in a number of articles tailored towards normal hearing visitors. However, a recent study has taken into consideration the hearing impaired visitors by identifying the engagement elements of MAR for the HI museum visitors. The identified elements include; aesthetics, interaction, interest, usability, satisfaction, motivation, curiosity, enjoyment, perceived control, self-efficacy, and focused attention. This article thus takes a step further by introducing the MAR for the HI museum visitors engagement (MARHIME) conceptual model. These elements are derived from a review of literature which has been done comprehensively and are validated by a panel of experts. Altogether eleven elements went through the expert review process and only six elements were validated to be used for the construction of the MARHIME model. This article also further grounds the justification of these selected six elements in relation to engagement. Future work will include the development of the MARHIME prototype which will be used to validate the model among the hearing impaired visitors at a museum."
1220,Monitoring the Consumption of Electrical Energy Based on the Internet of Things Applications,"One of the instrumental functional overheads in many commercial edifices and industrial plants is the electricity bill. The design and development of a Smart Power monitoring device used to make monitoring on the electrical parameters represented as voltage, current, and power of Wasit university buildings. The system has a unit with smart sensing to detect and control the electrical devices employed for daily activities by following different tariff rates. It has the capability to decrease consumer costs improving grid stability. A developed model was broadly examined and experimental results comparing these results with devices of conventional measuring. The Arduino based wireless powering meter is a non-invasive existing meter for domiciliary power with a WI-FI Connection. A split-core is used to measure the current transformers. 802.11b connection is a means for transmitting data through the homes wireless router to the base station and monitoring web portal based on wireless sensor network. A clear projection for domestic data use is one of the aims of this project. By these data, it can supply estimation to consuming power. Optimizing and reducing power usage are the objectives of providing such data.,"
1268,Encryption System for Hiding Information Based on Internet of Things,"One of the unexpected intelligence tactics known in World War II was to conceal the data in images that were reduced to the size of a point that was used in every text and transported in front of the enemy's eyes. In the new age, and after the expansion of Internet science and the use of the Internet worldwide, we will establish a security feature of the IOT service that will work more reliably and more effectively to deal with the Internet of Things and ensure the work of the services that the customer interacts with. A secret-key stenographic scheme that embeds four gray-scale secret size (128*128) pixel images into a size (512*512) pixel cover image in this work. Wavelet transform is the method used in this project to analyze the cover into its frequency components. In this work, combinations of steganography and cryptography were made to increase the level of safety and make the device more difficult for attackers to beat. The resulting stego-image that will be transmitted did not raise any suspicion by both objective and subjective evaluation, so the primary objective of Steganography is achieved. The proposed system was designed by using (MATLAB R2018b) and running on a Pentium-4 computer. The Internet of Things works with the encryption system for data in a synchronized manner with the technological development, and in order to maintain the stability of any Internet of things service, whether it is information signal services, visual or audio data, a remote control system, or data storage in the Internet cloud, we must focus on data preservation from internet pirates and internet system hackers. The picture Figure4 below shows the method of encryption and dealing with the Internet of things system..,"
753,Design and Use of a Mobile Application to Prevent Teachers Absenteeism in a Higher Education Setting,"In this paper, we present a digital application developed to prevent teachers absenteeism in a private university in Indonesia. In particular, we evaluated the development and the application of an Android-based attendance management system (AAMS) to monitor teachers attendance and their teaching activity at a private university in the capital city of Jakarta, Indonesia. Adopting a design-based research approach, we observed the development procedure and interviewed three end-users of the application, i.e. teachers. The findings of the study revealed the potential use of AAMS as a digital tool to prevent absenteeism among university teachers. The three main challenges were highlighted during the application of AAMS, including the processing time duration and system error, the reporting and analytics issues, and the input manipulation. Furthermore, a recommendation is offered on the basis of the findings."
758,"Development of Jawi Spelling Skills Mobile Applications, 'Oh Jawiku'"," In the past, Jawi script was the main medium of intermediation in Malaya. However, since the emergence of the Roman script, the use of Jawi script has been marginalized causing less awareness among some of the younger generation on the uniqueness of Jawi script. Therefore, a mobile application has been developed to attract students to explore Jawi script especially the spelling of Jawi words. This Jawi Spelling Skills mobile application used constructivism approach and ADDIE model during the development process. This study used quantitative one group pre-test and post-test research design that conducted among 20 students of a primary school. The result shows that the mean value of the post-test was higher than the pre-test which is 89.00 while the percentage of students who liked the Jawi Spelling Skills mobile learning application was high. In conclusion, the application of Jawi Spelling Skills Mobile Learning Application able to attract students to learn Jawi indirectly raised the dignity of Jawi script in the future besides supporting the 21st- century education.,"
840,The Role of Game Elements in Improving Jawi Skills through a Mobile Game 'G-Jawi',"The existence of a game-based mobile application in the field of education has largely helped students to be more interested and motivated to learn due to the presence of game elements in the apps which makes learning more interesting. The  script is one of the subjects that is difficult to learn by younger generation since they do not apply the use of  in their private lives. The inclusion of creative features such as game elements should attract students to explore the  script. A pre- experimental one- group pre- test and post- test study was conducted in which a game-based mobile application for learning  subject named G- was developed and tested among 20 primary school students in order to observe how the elements of the game in the mobile app impacted their  spelling skills. The apps were also evaluated by 5 teachers and the findings shows that the game-based mobile application was able to improve the students performance. This finding was supported by positive results amongst the students which revealed a mean value for the post- test was higher than the pre- test of 89.00. In conclusion, the mobile games app has successfully enhanced students understanding of  subjects compared to the traditional learning methods."
905,A Proposed Framework of Campus-Oriented Online Text Messaging System,"Nowadays, the rapid advancement of mobile software development has triggered to emerge of more online text messaging applications. In the environment of higher education institutions, it is also widely utilized to support the communication process between campus members. This research proposed a system of campus-specific online text messaging that is expected to improve academic activities. As a case study, the system was implemented using  framework and  for use in State Polytechnic of Malang, Indonesia. The system consists of three main subsystems that work together, including   and . To evaluate the proposed system, we conducted a survey. The result of the user satisfaction test shows that most users consisting of lecturers, staff, and students felt more helped in the communication process in the campus environment."
906,Developing an Android-Based Mobile Application for Civic Education Learning,"The study has developed an android-based mobile application that can assist in the teaching-learning process of civic education in senior high schools. As a research-and-development activity, it employed the ADDIE model (Analysis, Design, Development, Implementation, and Evaluation). Based on validation by material experts, the developed application was very feasible to use (89.04%), and the media experts concurred with this assessment (90.78%). During the large-group trials, the application scored between 3.96 and 4.68, meaning that it provides an excellent media or platform with high feasibility for the teaching-learning process of civic education in senior high schools."
940,Interactive Mobile Applications to Support the Teaching of Reading and Writing of Spanish for Children in Primary Education,"In the educational process, literacy is considered as a fundamental part, which focuses on the ability to read and write. Reading and writing are processes that, although they have features in common, they may not be developed in parallel, but both are encompassed in teaching methods that aim to develop these two skills at the same time. Interactive mobile applications can be part of a strategy to support the teaching of reading and writing skills. This paper presents a review of five interactive mobile applications to support the teaching of Spanish reading and writing skills. Mobile applications were analyzed based on their general features and the activities they have. The following general features were taken into consideration: the existence of voice assistants, supporting characters, language selection, progression of activities, creation of avatars, variable difficulty, progress panel, images, among others. The activities considered for the revision were those that allow completing syllables, completing words from letters, completing words from syllables, completing sentences, relating images to words, among others."
1206,Virtual Reality Mobile Application Development with Scrum Framework as a New Media in Learning English,"Virtual reality is a combination of technology that are used to visualize and provide interaction with virtual environment. These environment often depict three-dimensional space which could be realistic or imaginary. One of the problem to build a virtual reality application is not yet available an approach as development lifecycle to build this virtual reality application. In this study we implement a software development project management approach which is Scrum to build a virtual reality application to be a new media for learning English. The goal is to find out how this system development approach is providing a new guide as a project management to build virtual reality application right from the project started, until the application is reach production stage or final release. Also in this study we using the unity 3D to create the virtual environment and C# as the backend programming language to build a mobile application which is made this virtual application is build using cross platform mobile development. The study concludes that mobile learning applications increase student motivation and place students as the main subject in English Lessons to support the teaching and learning process in an educational context."
1219,Usability Evaluation and User Acceptance of Mobile Applications for Saudi Autistic Children,"The evolution of mobile technologies in learning, has been increased the requirements for developing appropriate usability model to fall into the same line with mobile learning applications. Usability of mobile learning applications is a topic that is into research, this paper focuses a tailored designed model called (M-UTUAT) mobile usability model that combines People at the Centre of Mobile Application Development (PACMAD) and the unified theory of acceptance and use of technology (UTAUT) to form a more robust model. As an addition to the usability research, an application (ICT) was developed for children with speech delays and children diagnosed with autism spectrum. The application is a mobile/tablet-based application that developed according to mobile usability measures to get the maximum learning skills and abilities to help autistic children. It has been designed according to the needs of the children specific to their category and skills. The autism spectrum is a broad spectrum with high and low disabilities. The application consists of both visual and audio aids to help children feel comfortable and associate objects more easily with their original meaning and connections. (PECS) is one of the most common techniques that have been clinically proven to be effective in such cases. This application helped an individual with autism spectrum as well as children with speech delays or disabilities to communicate and correlate faster and easily. The application can help so many families by constructing a more communicative path for people with disabilities. The application is innovative that it developed in the Arabic language to serve Arabic learners as most of the autistic applications available serve English learners. Results gathered after questionnaire highlight the usability issues with the (ICT) application. We developed an app to overcome usability issues.,"
112,Analyzing Graduation Project Ideas by using Machine Learning,"The graduation projects (GP) are important because it reflects the academic profile and achievement of the students. For many years graduation projects are done by the information technology department students. Most of these projects have great value, and some were published in scientific journals and international conferences. However, these projects are stored in an archive room haphazardly and there is a very small part of it is a set of electronic PDF files stored on hard disk, which wastes time and effort and cannot benefit from it. However, there is no system to classify and store these projects in a good way that can benefit from them. In this paper, we reviewed some of the best machine learning algorithms to classify text “graduation projects”, support vector machine (SVM) algorithm, logistic regression (LR) algorithm, random forest (RF) algorithm, which can deal with an extremely small amount of dataset after comparing these algorithms based on accuracy. We choose the SVM algorithm to classify the projects. Besides, we will mention how to deal with a super small dataset and solve this problem."
904,Survey on Applications of Deep Learning and Machine Learning Techniques for Cyber Security,"The research aimed to conduct an extensive study of machine learning and deep learning methods in cybersecurity. To accomplish the objectives, the research carried out a qualitative study based on secondary data collection to review the available studies and literature. The research has examined three machine learning methods and three deep learning methods to study the most popular techniques used in cybersecurity. During the research, the working mechanism of each method was studied along with their strengths and weaknesses. Also, a comparative discussion has been made to examine the most effective method for cybersecurity. Limitations in the current literature were also identified, and future direction is also given to target and develop the weak areas of machine learning and deep learning methods.,"
1247,Credit Card Fraud Detection Using Fuzzy Rough Nearest Neighbor and Sequential Minimal Optimization with Logistic Regression,"The global online communication channel made possible with the internet has increased credit card fraud leading to huge loss of monetary fund in their billions annually for consumers and financial institutions. The fraudsters constantly devise new strategy to perpetrate illegal transactions. As such, innovative detection systems in combating fraud are imperative to curb these losses. This paper presents the combination of multiple classifiers through stacking ensemble technique for credit card fraud detection. The fuzzy-rough nearest neighbor (FRNN) and sequential minimal optimization (SMO) are employed as base classifiers. Their combined prediction becomes data input for the meta-classifier, which is logistic regression (LR) resulting in a final predictive outcome for improved detection. Simulation results compared with seven other algorithms affirms that ensemble model can adequately detect credit card fraud with detection rates of 84.90% and 76.30%.,"
188,Using Machine Learning via Deep Learning Algorithms to Diagnose the Lung Disease Based on Chest Imaging: A Survey," Chest imaging diagnostics is crucial in the medical area due to many serious lung diseases like cancers and nodules and particularly with the current pandemic of Covid-19. Machine learning approaches yield prominent results toward the task of diagnosis. Recently, deep learning methods are utilized and recommended by many studies in this domain. The research aims to critically examine the newest lung disease detection procedures using deep learning algorithms that use X-ray and CT scan datasets. Here, the most recent studies in this area (2015-2021) have been reviewed and summarized to provide an overview of the most appropriate methods that should be used or developed in future works, what limitations should be considered, and at what level these techniques help physicians in identifying the disease with better accuracy. The lack of various standard datasets, the huge training set, the high dimensionality of data, and the independence of features have been the main limitations based on the literature. However, different architectures of deep learning are used by many researchers but, Convolutional Neural Networks (CNN) are still state-of-art techniques in dealing with image datasets.,"
693,Phishing Detection Based on Machine Learning and Feature Selection Methods,"With increasing technology developments, the Internet has become everywhere and accessible by everyone. There are a considerable number of web-pages with different benefits. Despite this enormous number, not all of these sites are legitimate. There are so-called phishing sites that deceive users into serving their interests. This paper dealt with this problem using machine learning algorithms in addition to employing a novel dataset that related to phishing detection, which contains 5000 legitimate web-pages and 5000 phishing ones. In order to obtain the best results, various machine learning algorithms were tested. Then J48, Random forest, and Multilayer perceptron were chosen. Different feature selection tools were employed to the dataset in order to improve the efficiency of the models. The best result of the experiment achieved by utilizing 20 features out of 48 features and applying it to Random forest algorithm. The accuracy was 98.11%."
1014,Optimizing Android Malware Detection Via Ensemble Learning,"Android operating system has become very popular, with the highest market share, amongst all other mobile operating systems due to its open source nature and users friendliness. This has brought about an uncontrolled rise in malicious applications targeting the Android platform. Emerging trends of Android malware are employing highly sophisticated detection and analysis avoidance techniques such that the traditional signature-based detection methods have become less potent in their ability to detect new and unknown malware. Alternative approaches, such as the Machine learning techniques have taken the lead for timely zero-day anomaly detections.  The study aimed at developing an optimized Android malware detection model using ensemble learning technique. Random Forest, Support Vector Machine, and k-Nearest Neighbours were used to develop three distinct base models and their predictive results were further combined using Majority Vote combination function to produce an ensemble model. Reverse engineering procedure was employed to extract static features from large repository of malware samples and benign applications. WEKA 3.8.2 data mining suite was used to perform all the learning experiments. The results showed that Random Forest had a true positive rate of 97.9%, a false positive rate of 1.9% and was able to correctly classify instances with 98%, making it a strong base model. The ensemble model had a true positive rate of 98.1%, false positive rate of 1.8% and was able to correctly classify instances with 98.16%. The finding shows that, although the base learners had good detection results, the ensemble learner produced a better optimized detection model compared with the performances of those of the base learners.,"
1163,Fog Computing Based on Machine Learning: A Review,"Internet of Things (IoT) systems usually produce massive amounts of data, while the number of devices connected to the internet might reach billions by now. Sending all this data over the internet will overhead the cloud and consume bandwidth. Fog computing's (FC) promising technology can solve the issue of computing and networking bottlenecks in large-scale IoT applications. This technology complements the cloud computing by providing processing power and storage to the edge of the network. However, it still suffers from performance and security issues. Thus, machine learning (ML) attracts attention for enabling FC to settle its issues. Lately, there has been a growing trend in utilizing ML to improve FC applications, like resource management, security, lessen latency and power usage. Also, intelligent FC was studied to address issues in industry 4.0, bioinformatics, blockchain and vehicular communication system. Due to the ML vital role in the FC paradigm, this work will shed light on recent studies utilized ML in a FC environment. Background knowledge about ML and FC also presented. This paper categorized the surveyed studies into three groups according to the aim of ML implementation. These studies were thoroughly reviewed and compared using sum-up tables. The results showed that not all studies used the same performance metric except those worked on security issues. In conclusion, the simulations of proposed ML models are not sufficient due to the heterogeneous nature of the FC paradigm.,"
98,Leveraging Smartphone Sensors for Detecting Abnormal Gait for Smart Wearable Mobile Technologies,"Walking is one of the most common modes of terrestrial locomotion for humans. Walking is essential for humans to perform most kinds of daily activities. When a person walks, there is a pattern in it, and it is known as gait. Gait analysis is used in sports and healthcare. We can analyze this gait in different ways, like using video captured by the surveillance cameras or depth image cameras in the lab environment. It also can be recognized by wearable sensors. e.g., accelerometer, force sensors, gyroscope, flexible goniometer, magneto resistive sensors, electromagnetic tracking system, force sensors, and electromyography (EMG). Analysis through these sensors required a lab condition, or users must wear these sensors. For detecting abnormality in gait action of a human, we need to incorporate the sensors separately. We can know about one's health condition by abnormal human gait after detecting it. Understanding a regular gait vs. abnormal gait may give insights to the health condition of the subject using the smart wearable technologies. Therefore, in this paper, we proposed a way to analyze abnormal human gait through smartphone sensors. Though smart devices like smartphones and smartwatches are used by most of the person nowadays. So, we can track down their gait using sensors of these intelligent wearable devices. In this study, we used twenty-three () people to record their walking activities. Among them fourteen people have normal gait actions, and nine people were facing difficulties with their walking due to their illness. To do the stratification of the gait of the subjects, we have adopted five machine learning algorithms with addition a deep learning algorithm. The advantages of the traditional classification are analyzed and compared among themselves. After rigorous performance analysis we found support vector machine (SVM) showing 96% accuracy, highest among the tradition classifiers. 70%, 84%, and 95% accuracy is obtained by the logistic regression, Naïve Bayes, and k-Nearest Neighbor (kNN) classifiers, respectively. As per the state-of-the art, deep learning classifiers has been proven to outperform the traditional classifiers in similar binary classification problems. We have considered the scenario and applied the 2D convolutional neural network (2D-CNN) classification algorithm, which outperformed the other algorithms showing accuracy of 98%. The model can be optimized and can be integrated with the other sensors to be utilized in the mobile wearable devices.,"
175,Leveraging Sensor Fusion and Sensor-Body Position for Activity Recognition for Wearable Mobile Technologies,"Smart devices like smartphones and smartwatches have made this world smarter. These wearable devices are created through complex research methodologies to make them more usable and interactive with its user. Various interactive mobile applications such as augmented reality (AR), virtual reality (VR) or mixed reality (MR) applications solely depend on the in-built sensors of the smart devices. A lot of facilities can be taken from these devices with sensors such as accelerometer and gyroscope. Different physical activities such as walking, jogging, sitting, etc., can be important for analysis like health state prediction and duration of exercise by using those sensors based on artificial intelligence. In this paper, we have implemented machine learning and deep learning algorithms to detect and recognize eight activities namely, walking, jogging, standing, walking upstairs, walking downstairs, sitting, sitting-in-a-car and cycling; with a maximum of 99.3% accuracy. A few activities are almost similar in action, such as sitting and sitting-in-a-car, but difficult to distinguish; which makes it more challenging to predict tasks. In this paper, we have hypothesized that with more sensors (sensor fusion) and data collection points (sensor-body positions) a wide range of activities can be recognized and the recognition accuracies can be increased. Finally, we showed that the combination of all the sensors data of both pocket/waist and wrist can be used to recognize a wide range of activities accurately. The possibility of using the proposed methodologies for futuristic mobile technologies is quite significant. The adaptation of most recent deep learning algorithms such as convolutional neural network (CNN) and bi-directional Long Short Time Memory (Bi-LSTM) demonstrated high credibility of the methods presented as experimentation.,"
