,article_title,keywords,publishing_date,abstract
816,generate a meta-model content for collaboration space of learning management system compatible with ims-ld,",lms, collaboration space, ims-ld, elearning platform, designing an ims-ld meta-model",2019-01-29,"the context of this work is that of designing a instructional management systems - learning design (ims-ld) model for collaboration space of a learning management system (lms). our work is specifically in the field or seeking to promote, by means of information technology from a distance. our approach is to first think about the conditions for creating a real collaboration space between learners, and designing the it environment that supports this space. in this paper, we try to adapt the ims-ld model with a collaboration model for learning management system based on the social constructivism. this adaptation will go through three stages. firstly, the development of an lms model. secondly, the study of correspondence between the developed model and ims-ld model. finally their transformation to ims-ld model.,"
817,motivation of parents towards reading multilingual ebooks to pre-school children,",mobile learning, school-home cooperation, multilingual, ebook",2019-01-29,"the use of mobile devices for language learning, under the mobile assisted language learning (mall) has been found to motivate children to read digital print. however, parents need to be convinced of the benefits of this new technology-assisted learning method within a multilingual learning context. a case study was conducted to propose a mall framework in which educators and parents created a shared meaningful learning environment to develop the childrens emergent multilingual literacy skills, using mobile devices installed with interactive multilingual ebooks. this paper reports the findings, specifically on the parents attitude and motivation towards reading multilingual ebooks with their children. a group of 25 multi-ethnic families, together with their 5-year-old children participated in this study. a mixed-method explanatory research design obtained parent's attitude and motivation from a questionnaire, interview, and feedback form. the results show a high level of parents acceptance toward reading ebook with their children. parents attributed their positive attitude and motivation towards mall to the use of the multimedia, multilingual, and mobile platform. the mall framework was also found to encourage parents and other adults to scaffold the childrens multilingual skills development. however, there were also setbacks toward the use of ebook as some parents expressed a stronger preference for printed books and were concerned with health issues associated with the childrens ebook use. areas for improvements and future research are also made in this paper."
818,an android augmented reality application  for retail fashion shopping,",fashion, augmented reality, mobile augmented reality, ar, mar, mobile retailing, information technology",2019-01-29,this report will exhibit an outline of the basic features of mobile augmented reality (mar) and the key concepts of this technology in the fashion retail industry. several obstacles such as the necessity of putting on the garments to experience its actual view have been tackled by customers throughout the process of clothes shopping. the goal is to constringe these obstacles by creating an augmented reality based application that will directly solve these problems. the methodology was conducted by questioning shoppers about the different holdbacks faced during shopping. solutions for the issues are expected to be achieved by developing an easily utilizable mar application for targeted customers. the design of this paper involved the utilization of handed questionnaire and semi structured interviews with several store managers to gather sufficient about their sales strategy and proposing the solution of augmented reality utilization within the market. augmented reality technology have a great potential to be utilized efficiently inside the fashion market as it will meritoriously improve the shopping experience of consumers across multiple fashion related industry channels.
819,analysis of players' speed thinking in color mix game application,",speed thinking, educational game, player behavior, log data",2018-12-24,"color mix game is an educational game that introduces the theory of color mixing, which is very important for everyday needs, especially in all areas of visual art such as graphic design and videography. unfortunately, just a few people know this knowledge. the game has become an interesting and fun learning media for its players. in addition to learning media, games can have positive impacts on the players. among its effects, it can improve basic mental skills for players, such as alertness, speed thinking ability, and concentration ability. therefore we are interested to analyze the player behavior in the game to see the improvement of their players' speed thinking ability. to perform this analysis, we collect the data by recording every player activity log during playing the game. every step was taken by the player along with detailed information such as the time of the attack and the distance of the attack will be stored in the database. by using mysql, the database of this game is built on phpmyadmin application. after collecting data from 10 respondents we asked to play this game 2 times, we get the result that the players experienced a speed increase of thinking as much as 32% in the game.,"
820,mobile game design for learning chemical bonds with endless run approach,",application-based learning, chemical bonds, educational games",2018-12-24,"this research focuses on the design of a mobile application game that uses endless run method to learn chemistry concept of chemical bonds, its design is analyzed thoroughly. application-based learning is one of the method of learning that has been proven to be effective, however, previous studies focuses on the elements of serious gaming that neglects the fun elements in the game itself, disdaining the nature of a game. this research aims to discover the relevance of player happiness and fun level based when playing an educational game and its correlation with the level of learning while also focuses on understanding what hinders a player in the context of chemistry-based games. the testing planning are exposed along with a hypothesis that player happiness positively correlates with its level of learning, while the hindrance can be identified by using statistical approach."
821,application of data integrity algorithm for geotechnical data quality management,",gis, algorithm, geotechnical data, engineering, drilling",2018-12-24,"the aim of this research work is to ensure the integrity and correction of the geotechnical database which contains anomalies. these anomalies occurred mainly in the phase of inputting and/or transferring of data. the algorithm created in the framework of this paper was tested on a dataset of 70 core drillings. in fact, it is based on a multi-criteria analysis qualifying the geotechnical data integrity using the sequential approach. the implementation of this algorithm has given a relevant set of values in terms of output; which will minimalize processing time and manual verification. the application of the methodology used in this paper could be useful to define the type of foundation adapted to the nature of the subsoil, and thus, foresee the adequate budget."
822,mobile-based recommendation system for the tour package using the hybrid method,",tour package, recommendation system, case based reasoning, dempster shafer theory, naïve bayes, bayes theorem, web responsive, k-fold cross validation",2018-12-24,"although it has been a lot of research recommendation of the tourist attraction, there has been no research that discusses the recommendations of tour packages from a collection of travel in the past. therefore, in this study it is important to conduct a related study 1) the development of a mobile recommendation system using the hybrid method. 2) test system accuracy in providing tour package recommendations.the study is using cbr stages in providing travel package recommendations from a collection of travel in the past. there are 4 stages of the process: retrieve, reuse, revise, and retain. in this study the main focus on the retrieve stage using the method hybrid method. the hybrid method of the mobile recommendation system is the combination of the naive bayes method, bayes theorem, and dempster shafer. where naive bayes is used for calculating the probability of continuous criteria such as age and frequency of visits. the bayes theorem is used for calculating the probability such as country, gender, and visiting purpose. to determine the mass value of the combination of evidence using the dempster shafer method. based on system accuracy test, stated that the total system accuracy in giving recommendation is 95% consisting of 2 kinds of accuracy is 46% full accuracy and 49% of half accuracy. while the error rate of the system in providing tour package of 5%.,"
823,evaluating smartphones for infrastructure work order management,",mobile phone, application, work-order system, infrastructure",2018-12-24,"infrastructure managers require timely and accurate state information to diagnose, prioritize, and repair the substantial infrastructure assets supporting modern society.  challenges in obtaining sufficient information can often be attributed to inadequate data collection procedures (phone calls, paper reports, etc.) or a general lack of knowledge or ability on the part of the reporting individual to accurately convey what is actually wrong with the facility.  fortunately, modern smart-phone technology offers the potential to improve maintenance work requests by providing better geolocation and problem description accuracy.  an experiment simulating real-world maintenance requests was conducted comparing smart-phones with traditional verbal work order request systems.  usefulness and description accuracy ratios revealed smartphone systems generated more useful information regardless of submitter background or experience.  however, interestingly the smart-phone applications did not improve asset geolocation and actually negatively impacted the ability of maintenance personnel to accurately relocate the asset needing service.  given the ubiquitous nature of smartphone technology, the potential exists to turn any citizen into an infrastructure sensor.  this study takes a step toward understanding the benefits, as well as the limitations, of the smart-phone based work order submission systems.,"
824,virtual reality for learning fish types in kindergarten,",virtual reality, fish types, googlevr, kindergarten, unity 3d, blender, learning media.,",2018-12-24,"this research aimed at developing a virtual reality based learning media application on the introduction of types of fish. the development of this application intended to facilitate the learning process in the kindergarten concerning on the introduction of aquatic animals, and specifically about fish. there were 10 types of saltwater fish and 10 types of freshwater fish which would be introduced to the kindergarten students. the development of this application is expected to attract children's learning enthusiasm about the types of fish in our environment.  the development of this virtual reality-based learning media application used the addie model. this addie model comprises of 5 stages, namely and with the consideration of this model, the developed product could be finalized within fine quality. it could be achieved since this model allows the developer to perform evaluation and revision during every completed stage.,the result of the users experience testing was 89.8 %, indicating that this virtual reality-based learning media application was considered excellent. therefore, this application could be used as a supporting media to introduce types of fish in the teaching and learning process conducted in the kindergarten, concerning the theme of aquatic animals with the subtheme of fish"
825,integration of peer instruction in online social network to enhance higher order thinking skills,",peer instruction, higher order thinking skills, online social learning",2018-12-24,"higher order thinking skills (hots) are important thinking skills for lifelong learners, active social responsibility and proactive employees in the 21st century. the rapid development of technology in education has made learning anywhere and anytime possible. this study was conducted to investigate the effect of the integration of peer instruction in online social network could on students ability to answer hots questions. peer instruction is one of the learning techniques that promote hots in a cooperative learning setting. it promotes students participation in class and increasestheir learning engagement. this study applied repeated measures one group pre-post test design which was carried out among 20 students (purposive sampling technique) in higher education institution. it was carried out in 3 different sessions. students have to answer hots questions in the form of multiple choices using an online quiz system, while peer instruction activities were carried out using and online social network app. findings show that there is significant effect of peer instruction activities on students quiz scores and no significant difference of students peer instruction activities among the 3 learning sessions."
826,empowering teachers in the socialization of the anti-sexual violence behavior in primary schools,",teacher training, anti-sexual violence, multimedia",2018-12-24,"facts showed that many cases of sexual harassment and violence occurred to elementary school students, yet they did not have the knowledge, courage, and skills to withstand against the people who harmed them. teachers should become a good mediator for the students in understanding the basic sexual values, as well as skills against sexual abuses. this study developed a multimedia-based teaching media, animation, and user-friendly digital books to empower these teachers. the other aim to be achieved was the formation of communication and parent-student-teacher partnership. hence, they were integrated into attaining one purpose which was protecting children from sexual violence. the method used was discussion forums, in where the teachers were divided into small groups, to achieve the goal which was the empowerment action among elementary school teachers in socialising of anti-sexual violence behaviour. all teachers involved were the principals and teachers of two elementary schools in salatiga, central java, indonesia. the impact of this action program was the establishment of tranquillity and comfort in the community's social life. the teachers were increasingly skilled and encouraged to have courage in socialising anti-sexual violence to the students. the teacher-student-parent communication was able to assist them in making an early identification, and appropriate responses to sexual violence occurred to the elementary students."
827,a novel authentication mechanism to prevent unauthorized service access for mobile device in distributed network,",authentication, unauthorized service access, mobile, distributed network",2018-12-24,"the growth of distributed computer networks (dcn) is simple for the user to share information and computing capabilities with the host. user identification is an essential access control mechanism for the client-server networking architecture. the perception of single sign-on allows a legitimate user to access a different service provider on a dcn using a single session key. recently, several user identification techniques being proposed for dcn. unfortunately, the existing proposals cannot maintain user anonymity when the majority of probable attacks. in addition, the further time synchronization mechanism they use can result in widespread overhead costs. to overcome these shortcomings, we propose a novel authentication mechanism to prevent unauthorized service access for a mobile device in distributed networks. the mechanism implements methods to generate securely encrypted keys using rsa algorithm to validate the authentication of user login id and password.  later, it implements a secure session key generation using dh algorithm which allows accessing the different services without repeating the authentication mechanism. an experimental evaluation was performed to measure execution time overhead for the registration process, an authentication process, session key generation process and service request performance. the comparison results with existing authentication mechanism show an improvisation in all the measures."
828,learning management system: an experience and perception study from medical imaging lecturers and scholars in a private university,",learning management system, e-learning, perception, higher education sys-tem",2018-11-08,"a learning management system (lms) is a virtual interactive medium that modernize the classic classroom interaction in the higher education system. it allows instructors and students to share instructional materials, make class announcements, submit and return course assignments, and communicate with each other online. in kpj healthcare university college, department of medical imaging under school of health sciences was the first unit that has used lms actively since 2013. the aim of the study is to determine the perception of medical imaging lecturers and scholars on lms implementation before this system is fully utilized by the university. using a descriptive study, 200 participants were randomly selected to answer the questionnaire via google form and 93% responded. analysis such as frequencies, percentage and statistical analysis were conducted. the results showed that most of the lecturers and scholars have a positive perception on the system implemented. implication of the results and future improvement are also presented."
829,using mobile application intercessions to decrease prenatal mortality in developing countries: a systematic review,",mobile applications, antenatal care, prenatal care, developing countries",2018-11-08,"mobile phones are increasingly used in health systems in developing countries, and innovative technology solutions have great potential to overcome barriers of access to maternal health care. the objective of this study is to conduct a systematic review of the literature to ascertain what evidence exists for the effectiveness of mobile applications to decrease prenatal mortality through behavioural modification in developing countries. the study is essential in examining and illuminating certain aspects of the usage of mobile applications to improve prenatal care in developing areas and would, therefore, open up immense possibilities for prenatal care applications to improve essential precautional maternal services and in turn possibly lower the mortality rate in developing countries. database searches and an intensive screening process were conducted before reviewing the full text of 34 articles and finally, nine articles that met all the inclusion criteria were selected. the study found that most of the included studies utilised text message suggestions to impact persistent conduct change in patients and all led in african nations. the review concluded that every one of the written reports appeared at any rate to show some proof of viability at changing conduct to decrease prenatal mortality. the policy infrastructure for funding, coordinating and guiding the sustainable adoption of precautional maternal services remains under-developed and that the integration of mobile health for prenatal health services has demonstrated positive outcomes.,"
830,the relationship between knowledge and attitude towards technology gadget usage with students socio-emotions development,",attitudes, knowledge, socio-emotion, technology gadget",2018-11-08,"gadgets nowdays become one of the most important necessities in human life. the use of gadgets is not only becomes a widespread among adults, but the younger generation also being exposed to this diverse technology gadgets. the gadgets usage among younger generation contributes to the numerous impacts on their socio-emotional development whether in negative or positive ways. therefore, this study aims to investigate the relationship between knowledge and attitude, towards technology gadget usage and the students' socio-emotions development at tiram, johor. this study was conducted using quantitative research design and the questionnaires were distributed to 260 students in three schools around the tiram zone for data collection purpose. data were analysed using descriptive statistics and pearson correlation inference statistics to identify the relationship between the two variables. the results of the analysis showed that there was a significant relationship between knowledge and attitudes, towards the gadget usage among students and their socio-emotions development. the findings of this study indicate that the students' knowledge and attitude towards the gadgets have a relationship with the students' socio-emotions. therefore, this study is important in providing information especially to the schools, parents and students in order to figure out the appropriate alternative on using the gadgets more effectively.,"
831,a cross-platform mobile application for learning programming basics,",cross-platform, mobile application, programming basics, multi-agent system, learning outcomes, m-learning, xamarin.forms, self-learning",2018-11-08,"this paper presents and discusses a new mobile application for teaching and learning programming basics. the purpose is to help students acquire competencies while having fun and using their own devices. the mobile application was designed according to cross-platform approach to reach the broadest possible audience of learners, saving time and effort of development and maintenance. the code is fully shared between mobile platforms (ios, android and windows phone) allowing learners to install the application on any device. the core application is based on a multi-agent system to make the application interactive, flexible and dynamic and provide students with tailored instructions. a prototype is presented showing the main features of the application.,"
832,implementing a mobile application news tool for disseminating messages and events of alburaimi university college,",mobile application, sql, java programming, android, ios",2018-11-08,"technology is developing and changing in every moment that all domains are patchy without it. our research utilizes the current trends and technology to design and develop a mobile application for the all members of the college. the students are the fundamental members in the college and they are our targets. mobile notification system is an emerging technology, which influence in solving various dimensions of life. the college announcements and events are disseminated to students and staff through circulars, notice boards, emails, etc. our research was to employ mobile affinity of especially students who ignore the circulars and notifications in notice board. the tool may be installed from play store mobile. the tool supports the widely used mobile operating system like android and iphone. this tool helps and provides a flexible way for communication. it list all events and news at alburaimi university college (buc) like announcement of training courses and scientific workshop or classes cancel and others events. it also helps in easy access of college portal for both students and staff. the evaluation held finds positive response towards the need of this mobile application. the result shows the interest and satisfaction of users with buc news mobile application tool"
833,"new wave in mobile commerce adoption via mobile applications in malaysian market: investigating the relationship between consumer acceptance, trust, and self efficacy",",mobile commerce, mobile applications, technology acceptance model (tam), consumer behaviour, trust, self-efficacy",2018-11-08,"given the prevalence of online technology nowadays, mobile commerce continues to attract considerable attention for marketing research. however, studies on the factors that impact mobile commerce adoption via mobile applications are still limited. moreover, there is minimal study that investigates the importance of attitudes towards mobile commerce as antecedents of mobile commerce adoption using technology acceptance model (tam), especially in the malaysian market. these factors are crucial since the population of online users are massive and their influence is forming the untapped potential for marketers. by knowing the factors that drive the use of mobile commerce, this study seeks to facilitate marketers on how to use the findings and intensify the growth of online business in malaysia. this quantitative study is cross-sectional in nature with 160 samples. results showed that out of six hypotheses, five hypotheses were supported. the findings shed lights on the relevance of tam in reasoning the adoption of mobile commerce via mobile applications. also, this study provides insightful implications for marketers to understand consumer behaviour and strengthen the mobile commerce market."
834,integrating animations in chinese character writing based on cognitive theory of multimedia learning to promote students writing skills,",chinese character writing, animation, frog vle, ctml",2018-11-08,"the complexity of chinese character caused students facing learning difficulty in mastering the chinese character writing skills. this study aimed to investigate the effect and students' perception on the implementation of animation in teaching and learning of chinese character writing based on cognitive theory of multimedia learning (anicc online learning) via frog vle platform. meanwhile, the relationship of implementation of anicc online learning and pupil's writing performance was also studied to have further insights into the chinese character teaching and learning situation. pre-experimental one group pre-test and post-test design were adopted and thirty three year 1 students were selected as the respondents in this research which involved four types of instruments. there was a significant different (p = 0.013) between the scores of pre-test and post-test for students' writing performance after performing paired samples t-test. the study also showed an increase in the means scores of students' writing skills and an increase in the percentage of students' writing skills ranking at rank 4 or above although no significant different (p = 0.180) was observed between the pre writing assessment and post writing assessment after wilcoxon test was performed. the students overall showed high acceptance towards integration of anicc online learning with overall mean score 0.90 (maximum = 1). in sum, the design of anicc online learning via frog vle platform is able to improve writing performance as well as to help students in their writing skills.,"
835,the use of e-resources and innovative technology in transforming traditional teaching in chemistry and its impact on learning chemistry,",chemistry, moodle, e-learning, clicker, augmented reality",2018-11-08,"chemistry is often perceived as being a dry and boring science subject, probably because of traditional teaching method, static textbook, lack of interactivity and difficulty in visualization of the abstract chemical concepts. e-learning resources (e-resources) and the utilization of technology have become one of the major trends in education, replacing the conventional textbook and traditional talk and chalk teaching method. a study was undertaken to assess students perceptions of the impact of the e-resources and technology on various aspects of their learning. data were collected through a questionnaire involving 28 undergraduates, who were taking first-year chemistry course in taylors university, malaysia. a moodle e-learning platform was made available to the students, where the students can assess e-resources anytime and anywhere. innovative technologies such as mobile clicker, simulation and augmented reality (ar) were integrated into classroom instruction. most of the students found the e-resources provided useful and well prepared them for the assessments in the course. their understanding and ability to answer questions had improved. they were motivated to study the subject because it was more interactive and engaging. overall findings showed that these e-resources and innovative technologies gave positive impact on students learning in chemistry.,"
836,an analysis on adult learners satisfaction in online education programmes,",online learning environment, adult-learners, learning design, professional learning",2018-11-08,"the demand for online programmes is continuously increasing at varying degrees, with the major appeal coming from adult learners whom are managing with the numerous demands from other work and life domains. these adult learners have their own varied expectations from the online learning process. the purpose of this paper is to investigate the degree to which other predictors contribute to adult learners satisfaction in online learning environment. a mixed-methods design was used, selecting both quantitative methods (utilizing survey research) and qualitative methods (employing open-ended questionnaire items), gathering the feedback of 200 adult learners whom comprises of secondary school teachers and college level teachers, enrolled in professional online courses. the online courses were designed using a problem-centered and case-based approach to learning and utilized technologies including learning management system (lms) such as moodle as well as functions from the lms.  the results showed that the items such as learner-content interaction, self-regulated learning design, and internet self-efficacy were good predictors of students satisfaction. implications of these findings for higher education in providing blended or online programmes for adult learners are also discussed."
837,serious game attributes for the construction of a hazard identification framework,",game attributes, serious game, learning theory",2018-11-08,"in recent years gaming products have increasingly been used to enhance learning and training development in the academic and commercial sectors.  gaming is an approach that applies technology to provide an almost real experience with interactive field training.  it is an approach that supports the theory of learning by doing with a real case scenario.  the purpose of this paper is to determine serious game attributes to support effective training using serious game approach.  through systematic literature review on eleven selected articles, nineteen game attributes were identified.  hence, based on the definition and description from the articles, text analyses were conducted to determine categories of attributes based on educational theories' perspectives.  this study adopted the deductive content analysis approach which 14 relevant research articles between 1994 and 2016 were identified from the web of science and scopus databases.  it appears that serious game attributes according to the educational perspectives are being practised using various ideas, terms and concepts.   hence, the findings can be justified that serious game attributes are important to enhance the effectiveness of training modules.  all these attributes will become part of the serious game framework for hazard identification training modules.  the target is to deliver effective and active training module to construction-related workers."
838,using digital smart board to overcome higher order thinking skills learning difficulties in data handling among primary school students,",data handling, learning difficulties, smart board, higher order thinking skills, primary school",2018-11-08,"data handling at primary school involves gathering and recording information and then presenting it in a way that is meaningful to others. it is a fundamental part of student's mathematical understanding. initial concepts of data handling need to be exposed to students in the early years as these skills will be used and built upon throughout their education. due to its importance, data handling is included in the curriculum at primary level in malaysia. however results of international assessments which focused on the use of higher order thinking skills showed that malaysian students performed poorly in data handling. therefore, this study was conducted to identify students learning difficulties in data handling at each level of higher order thinking skills (hots) namely applying, analysing, evaluating and creating. in addition, this study also investigated the use of smart board in overcoming hots learning difficulties in data handling. numerous teachers recommend the use of smart board at primary schools since students have the opportunity to explore and learn novel concepts using the technology. subsequently, it helps to generate dynamic learning experiences and student in school become more motivated about learning when the smart board is used during their lessons. four experienced year five mathematics teachers and thirty year five students from a primary school were involved in the study. the students and teachers were selected based on purposive sampling. an interview protocol and rubric for cognitive domain in hots were used during the data collection phase. in addition, semi-structured interview sessions with the teachers and students as well as document analysis of the students mathematics exercise sheets in data handling were carried out by the researcher to investigate the students learning difficulties at each level of hots in data handling. it is hoped that the results from this study can contribute towards development of strategies, methods or programs using smart board to enhance hots in data handling among primary school students in malaysia."
839,development of virtual pulse simulation for pulse diagnosis studies,",haptic device, virtual pulse simulation, pulse diagnosis study, pulse waveform modeling",2018-11-08,"pulse signals can be used to observe the early sign of patients' health problems. from medical researches, monitoring the characteristic of arterial pulse waveform shows some risk indicator of specific diseases, e.g., hypertension, cardiovascular and heart failure diseases. a simple way to get arterial pulse wave is by using fingers to touch the radial artery position on the wrist. in the traditional chinese medicine, a physician can use the information of arterial pulse wave-form to identify diseases based on the physicians ability and experience. the improvement of the skill in pulse measurement can be improved by training using various kinds of pulses that represent each disease. this paper proposes a development of the virtual pulse simulation using augmented reality (ar) and haptic device for pulse diagnosis studies under various situations. the pulse simulation generates arterial pulse waveforms based on sine and gaussian functions. in this study, the mathematical model can generate the pulse wave like human pulse by setting up specific parameters. we can generate pulse waveform which representing different kinds and states of diseases by varying the mathematical model and parameters such as pulse rate or pulse pressure. the features of this work include how to generate force feedback from the mathematical models using the haptic device and how the virtual 3d can display visual feedback. the pulse simulation is useful for the health sciences students, especially the nursing students in training to identify some diseases. the evaluation of the system was carried out by first-year nursing students regarding usability, satisfaction, and performance."
840,the role of game elements in improving jawi skills through a mobile game 'g-jawi',",game-based mobile application, game elements, jawi understanding, students performance",2018-11-08,"the existence of a game-based mobile application in the field of education has largely helped students to be more interested and motivated to learn due to the presence of game elements in the apps which makes learning more interesting. the  script is one of the subjects that is difficult to learn by younger generation since they do not apply the use of  in their private lives. the inclusion of creative features such as game elements should attract students to explore the  script. a pre- experimental one- group pre- test and post- test study was conducted in which a game-based mobile application for learning  subject named g- was developed and tested among 20 primary school students in order to observe how the elements of the game in the mobile app impacted their  spelling skills. the apps were also evaluated by 5 teachers and the findings shows that the game-based mobile application was able to improve the students performance. this finding was supported by positive results amongst the students which revealed a mean value for the post- test was higher than the pre- test of 89.00. in conclusion, the mobile games app has successfully enhanced students understanding of  subjects compared to the traditional learning methods."
841,social media for teaching and learning within higher education institution: a bibliometric analysis of the literature (2008-2018),",social media technology, higher education, teaching and learning, bibliometric analysis.,",2018-11-08,"research on the topic of social media for teaching and learning in the higher education have received much attention from academia and practitioners. social media technology was acknowledged not only as an important communication tool between faculty members and students but also shows great potential as the next social learning platform that better serves the teaching, learning and administration of a higher education institute. its informal setting allows more flexibility for both students and faculty members to teach and learn anywhere and everywhere. despite its important, little is known about how this research topic is evolving within the literature. hence, using a bibliometric analysis technique this study examines the trends, topics, and challenges addressed by previous research for the past ten years (2008-2018). the paper ends by discussing future research directions related to this topic."
842,efficient rts and cts mechanism which save time and system resources,",wireless sensor network, rts, cts, udp, tcp.,",2020-03-12,"it is a well-known fact that the forthcoming names are distinctively different: interference range, career sense, and transmission. the given paper reveals the underlying study of disengagement of a request to send (rts)/ clear to send (cts) dialog. it was basically adopted under the influence of both; the presence of distributed coordination function of ieee 802.11 and a sub-layer protocol which is called media access control (mac) protocol. the demonstration was seen when applying a type of traffic flows such as constant bit rate (cbr), transmission control protocol (tcp), and besides user datagram protocol (udp). when these are applied the output performance in term of throughput shows a very linear topology configuration of the network. to sum up, a new rts /cts mechanism was proposed based on the results obtained from the above suggestions. the detailing for the new mechanism showed that a terminal node will be responsible for deciding if it is authorized to use an rts/cts protocol dialog to send one of its packets or not. needless to say, this process will be dynamic in nature."
843,early investigation of the impact of mobile learning ethics student-generated activities for stem subjects in a local malaysian university context,",mobile learning, student-generated activities, mobile ethics",2020-04-07,"mobile learning is fairly new in the local context, particularly for stem subjects in malaysia universities. however, this raises the issue of the ethics of mobile technology. with the advancement of mobile technologies few studies have been conducted for mobile ethics in student-generated activities. the aim of this research is to investigate the impact of mobile learning student-generated activities ethics in malaysia. the methodology used in this research is largely qualitative with students from a local university in malaysia. this novel study developed early themes that sign post factors for mobile ethics in student-generated activities in a malaysian university context for stem subjects."
844,evaluating the readiness of malaysian academic university libraries towards library 4.0,",library 4.0 academic libraries",2020-04-17,this paper evaluates the readiness of malaysian academic university libraries towards library 4.0. the rise of this new intervention of web 4.0 and library 4.0 are being deliberated among librarians for future services. information technology facilities have been identified and analysed which may comprehend the use of libraries for the next generation. this will also help to move the library forward and improve the overall performance of university libraries respectively. the methodology used for this study is qualitative. this qualitative study was piloted among librarians working in the selected academic university libraries. this study gives an outline of the readiness among the selected academic university libraries towards library 4.0
845,standardization issues of mobile usability,",mobile usability, international standards, interface design, standardization prob-lems",2020-05-06,"the benefits of maintaining standards can be summarized from different perspectives: consumers, businesses, governments, economically. they inform and shape the products we buy, ensuring quality and safety. standardizing in dynamic activities such as the development of mobile applications and devices can be not easy task. in this regard, the aim of the current paper is to revise some international standard towards usability problems of mobile user interfaces and to analyze the possibility of standardization of mobile usability."
846,"a novel greedy forwarding mechanism based on density, speed and direction parameters for vanets",",vanets, routing protocol, gpsr, dva-gpsr, direction, speed, density",2020-05-20,"in the recent years, the study and developments of networks that do not depend on any pre-existing infrastructure have been very popular. vehicular ad hoc networks (vanets) belong to the class of these networks, in which each vehicle participates in routing by transmitting data for other nodes (vehicles). due to the characteristics of vanet (e.g. high dynamic topology, different communication environment, frequently link breakage…), the routing process still one of the most challenging aspects. hence, many routing protocols have been suggested to overcome these challenges. moreover, routing protocols based on the position of vehicles are the most popular and preferred class, thanks to its many advantages like the less control overhead and the scalability. however, this class suffer from some problems such as frequent link breakages caused by the high-mobility of vehicles, which cause a low pdr and throughput. in this investigation, we introduce a novel greedy forwarding strategy used to create a new routing protocol based on the position of vehicles, to reduce the link breakages and get a stable route that improves the pdr and throughput. the proposed density and velocity (speed, direction) aware greedy perimeter stateless routing protocol (dva-gpsr) is based on the suggested greedy forwarding technique that utilizes the density, the speed and the direction for selecting the most convenient relaying node candidate. the results of simulation prove that dva-gpsr protocol outperforms the classical gpsr in all studied metrics like pdr, throughput, and the ratio of routing overhead by changing the quantity of vehicles in urban and highway scenarios."
847,supporting english as a second language (esl) teachers professional development through multi-platforms online affinity space,",teachers professional development, peer mentoring, curriculum innovation, affinity space",2020-06-17,"this paper narrates the use of multi-platforms online affinity space called teacherfiera.com to support esl teachers professional development. teacherfiera.com utilizes three online platforms which are blogspot, facebook group and telegram group that works in parallel with each other. each platform is readily available to be used for free by the public and provides contextualized personal as well as group interactions. these platforms which have been integrated into teacherfiera.com also work as a bank for english language teaching materials which are accessible 24/7 and allows users to respond to specific materials or engage in a general topic of discussion. the creation of teacherfiera.com started as a response towards the need for teachers support in the dissemination and implementation of the new cefr-aligned english language curriculum.,"
